               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11611,            0.034152,                   0,             0.12421,            0.074074,            0.054116,            0.011127,            0.066645,            0.028361,                   0,              0.0874,              0.0014,              0.0014
                   1,            0.095957,            0.033244,                   0,           0.0037037,             0.74074,            0.022585,           0.0040379,            0.054707,            0.024971,                   0,            0.073894,           0.0028943,           0.0028943
                   2,            0.080941,              0.0356,                   0,              0.1165,             0.11111,             0.10246,            0.035213,             0.04715,            0.022469,                   0,            0.060383,           0.0043826,           0.0043826
                   3,            0.077236,            0.029134,                   0,             0.37069,             0.18519,             0.14794,            0.034999,            0.062533,            0.018301,                   0,            0.046865,            0.005865,            0.005865
                   4,            0.082277,            0.027871,                   0,             0.10132,             0.25926,            0.058205,            0.013643,             0.05858,            0.016235,                   0,            0.033341,           0.0073414,           0.0073414
                   5,            0.086577,            0.026434,                   0,            0.013265,             0.59259,            0.036417,           0.0092562,            0.056669,            0.015484,                   0,            0.019812,           0.0088119,           0.0088119
                   6,            0.079473,            0.028018,                   0,              0.1769,             0.22222,             0.13197,            0.030949,            0.059375,            0.015646,                   0,           0.0098812,           0.0098812,           0.0098812
                   7,            0.074996,            0.025539,                   0,             0.12563,             0.25926,             0.10857,            0.024105,            0.052192,            0.017053,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.071528,            0.026398,                   0,             0.20146,             0.25926,             0.13741,            0.024362,            0.059904,            0.014435,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.069811,             0.02737,                   0,             0.14035,             0.33333,            0.096332,            0.030608,            0.053688,            0.015118,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.066297,            0.025003,                   0,             0.35619,             0.25926,             0.32587,             0.10888,            0.050533,            0.014349,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.061814,            0.025241,                   0,              0.7524,             0.66667,             0.67454,             0.21859,            0.043204,            0.013469,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.062054,            0.023625,                   0,             0.80406,             0.66667,              0.7349,              0.3591,            0.035051,            0.013071,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.057641,            0.023273,                   0,             0.60046,             0.37037,             0.37141,             0.14973,            0.048315,             0.01216,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.059973,            0.020787,                   0,             0.46202,             0.51852,             0.54333,             0.17254,            0.043225,            0.011248,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.061767,            0.022755,                   0,             0.81378,             0.64783,             0.76249,             0.38737,            0.037571,            0.010732,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.056435,            0.020768,                   0,             0.87006,             0.74412,             0.87285,             0.42606,            0.030563,             0.01056,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.051965,             0.02112,                   0,             0.70608,             0.66667,             0.67105,             0.22516,            0.035028,           0.0096522,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.055173,             0.02079,                   0,             0.58221,             0.66667,             0.69079,             0.31978,            0.033273,            0.010043,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.049263,            0.018644,                   0,             0.64365,             0.81481,             0.76197,             0.41126,            0.034014,           0.0094955,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.048352,             0.01972,                   0,             0.65868,             0.81481,             0.74442,             0.34361,            0.031055,           0.0092384,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.053266,            0.020399,                   0,             0.90786,             0.66667,             0.77071,              0.2444,            0.039539,           0.0094428,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.055631,            0.019497,                   0,             0.78535,             0.77778,             0.85089,             0.42725,             0.03267,           0.0093305,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,             0.04479,             0.01556,                   0,             0.69207,             0.77778,             0.72171,             0.26003,            0.035672,           0.0096927,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,             0.04387,            0.018253,                   0,             0.58802,             0.68752,             0.66656,              0.2729,            0.032575,            0.010789,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.042403,            0.017546,                   0,             0.70787,             0.80791,             0.77803,             0.34459,            0.029295,           0.0098441,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.046509,            0.017362,                   0,             0.81976,             0.77778,             0.88548,             0.42602,            0.030879,           0.0093228,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.043268,            0.019042,                   0,             0.81535,             0.77778,             0.86485,             0.41725,            0.028857,           0.0090682,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.046668,            0.018635,                   0,             0.92986,             0.81481,             0.92267,             0.45949,            0.026524,           0.0087185,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.040575,            0.017469,                   0,             0.95953,             0.87853,             0.96113,             0.53009,            0.026547,           0.0083503,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.045205,            0.017669,                   0,             0.75954,             0.74074,             0.81348,             0.36174,            0.031762,           0.0078667,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.051141,            0.017317,                   0,             0.88312,             0.85185,             0.89724,             0.52905,             0.02556,           0.0082486,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.041793,            0.017524,                   0,                   1,             0.87686,             0.93093,             0.46122,            0.028926,           0.0082449,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.037923,            0.017832,                   0,             0.98386,             0.85185,             0.94884,             0.57689,            0.024142,           0.0082154,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.036788,            0.016123,                   0,             0.95424,             0.77778,             0.91984,             0.55059,            0.024197,           0.0080918,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.036776,            0.016402,                   0,             0.99323,             0.81481,             0.92501,             0.56631,            0.023221,           0.0080751,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.038344,            0.016606,                   0,              0.9941,             0.81481,             0.92613,             0.57937,            0.024855,           0.0081436,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.038629,            0.014414,                   0,             0.99909,             0.81481,             0.91584,             0.52053,            0.027833,           0.0082668,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.042038,            0.015758,                   0,             0.93024,             0.74074,             0.88086,             0.49462,            0.030612,           0.0079806,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.037016,            0.013629,                   0,             0.99304,             0.81481,             0.91736,             0.53099,            0.024554,           0.0083981,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.038173,            0.015363,                   0,             0.98859,             0.81481,             0.92023,             0.52089,            0.026193,           0.0080645,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.038169,            0.015826,                   0,             0.99893,             0.77778,             0.90285,             0.45808,            0.026709,           0.0087192,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.032605,            0.015007,                   0,             0.93895,             0.81481,             0.91665,             0.57258,            0.025105,           0.0081429,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.034656,            0.014474,                   0,             0.91881,             0.83861,             0.93171,             0.57339,            0.023881,           0.0079323,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.033969,            0.015216,                   0,             0.95776,              0.8402,             0.93373,             0.56993,            0.023531,           0.0075904,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.033149,            0.014605,                   0,             0.99072,             0.81481,              0.9445,             0.56613,            0.023282,           0.0075783,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,             0.03701,            0.015697,                   0,             0.95541,             0.79393,             0.92291,             0.56171,            0.023274,            0.007625,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.035265,            0.015446,                   0,              0.9479,             0.81481,             0.93642,             0.57932,            0.024817,           0.0077124,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.030575,            0.014907,                   0,             0.88129,             0.82513,             0.91976,             0.57083,            0.024482,           0.0077318,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.030189,            0.014829,                   0,             0.90831,             0.85185,             0.92904,             0.55068,            0.023699,            0.007778,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.029559,            0.015458,                   0,             0.91844,             0.85185,             0.93195,             0.55626,            0.023934,           0.0077412,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.034334,            0.012688,                   0,             0.95111,             0.81481,             0.95791,             0.56115,             0.02408,           0.0075017,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.033473,            0.016346,                   0,             0.95815,             0.84812,             0.95468,               0.537,            0.023396,             0.00704,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.038049,            0.014171,                   0,             0.91974,             0.84891,             0.95078,             0.51142,            0.026754,           0.0071469,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.040918,             0.01407,                   0,              0.9771,             0.74074,             0.91944,             0.58442,            0.024837,           0.0075596,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.035081,            0.015872,                   0,             0.92206,             0.81481,              0.9434,              0.6158,            0.021025,           0.0075777,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.034242,            0.014378,                   0,             0.95778,             0.84059,             0.96356,             0.57119,            0.022307,           0.0076697,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.028713,            0.013329,                   0,             0.85958,             0.90718,             0.96173,             0.57956,             0.02404,           0.0074506,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.029312,            0.015525,                   0,              0.9578,             0.84098,              0.9557,             0.60047,            0.022664,           0.0074304,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.030828,            0.013497,                   0,             0.95778,             0.84052,             0.95492,             0.57263,            0.023734,           0.0073893,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,             0.03495,            0.013953,                   0,             0.98837,             0.81481,              0.9525,              0.5987,            0.022082,           0.0074613,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.031771,            0.015083,                   0,             0.99064,             0.81481,             0.94727,             0.58606,            0.023354,           0.0074371,                   0,            0.008812,            0.008812,            0.008812
                  62,             0.03214,            0.013227,                   0,             0.98919,             0.81481,             0.95155,             0.62156,            0.022265,           0.0073946,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.030857,            0.013521,                   0,             0.99079,             0.81481,             0.95194,             0.61079,            0.022656,           0.0073968,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.030562,             0.01341,                   0,              0.9886,             0.81481,             0.95291,             0.63579,             0.02123,           0.0077141,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.031486,            0.014884,                   0,             0.99607,             0.81481,              0.9435,             0.59464,            0.022954,           0.0082385,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.029811,            0.013324,                   0,             0.99861,             0.81481,             0.94229,             0.61348,            0.022966,            0.008216,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.029754,            0.012817,                   0,             0.99583,             0.81481,             0.95564,             0.58795,            0.022619,           0.0079463,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.031434,            0.013271,                   0,             0.99487,             0.81481,             0.95679,             0.59177,            0.022886,           0.0082778,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.030384,            0.013525,                   0,             0.99551,             0.81481,             0.95197,             0.56849,            0.022456,           0.0081911,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.033725,            0.012906,                   0,             0.98458,             0.81481,             0.94395,             0.59498,            0.023854,           0.0085655,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.030893,            0.015635,                   0,             0.93726,             0.77778,             0.89695,             0.55853,            0.024308,           0.0082411,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.028748,            0.012325,                   0,              0.9195,             0.84633,             0.93253,             0.57483,            0.022353,           0.0077274,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.028698,            0.011752,                   0,             0.94419,             0.81481,             0.92519,             0.52137,            0.026034,           0.0077077,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.030333,            0.012293,                   0,             0.98767,             0.81481,             0.93678,             0.57642,            0.024096,           0.0074906,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.030942,            0.013176,                   0,             0.98836,             0.81481,              0.9451,             0.56765,            0.023377,           0.0074142,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.031197,            0.012729,                   0,             0.98628,             0.81481,             0.94476,             0.59921,            0.023572,           0.0077636,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.030038,            0.013172,                   0,             0.98406,             0.81481,             0.92877,             0.59513,            0.023237,           0.0080791,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,             0.03109,             0.01355,                   0,             0.98945,             0.81481,              0.9494,             0.57811,            0.024492,           0.0081255,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.030981,            0.011824,                   0,              0.9942,             0.81481,             0.95984,             0.57978,            0.022803,           0.0075497,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.030837,            0.011562,                   0,             0.91575,             0.92593,             0.95711,             0.56599,            0.026166,           0.0073041,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.029021,            0.013349,                   0,             0.92168,             0.92593,             0.96206,             0.57406,            0.023118,           0.0071559,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.027833,            0.015074,                   0,             0.91138,             0.92593,             0.96906,             0.60872,            0.021925,           0.0069437,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027169,            0.011653,                   0,              0.9256,             0.92174,             0.97078,             0.57677,            0.023677,           0.0076958,                   0,           0.0083764,           0.0083764,           0.0083764
