               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.033626,            0.013426,                   0,             0.97642,             0.81481,             0.93823,             0.54659,            0.039215,            0.011095,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.031861,            0.013468,                   0,             0.91979,             0.88889,             0.93209,             0.60304,            0.038818,            0.011958,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.032199,            0.013912,                   0,                   1,             0.84443,             0.94574,             0.55949,            0.037669,            0.011716,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.034305,             0.01301,                   0,             0.95572,             0.88889,             0.91829,             0.57469,            0.038722,            0.012524,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.032724,            0.013017,                   0,             0.94844,             0.85185,             0.90413,             0.52801,            0.043359,            0.012373,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.031166,            0.013325,                   0,             0.98205,             0.81481,             0.89937,             0.53094,            0.044372,            0.013058,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.033611,            0.013775,                   0,             0.98016,             0.81481,             0.91451,             0.52223,            0.041474,            0.013986,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.032332,            0.013834,                   0,             0.95137,             0.85185,             0.94203,             0.59673,            0.037945,            0.013089,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,             0.03056,            0.013508,                   0,             0.99465,             0.85185,             0.94873,             0.54967,            0.040674,            0.012464,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.033588,            0.014916,                   0,             0.95607,             0.80644,             0.91621,             0.59198,            0.040338,             0.01087,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              0.0332,            0.013671,                   0,             0.99459,             0.85185,             0.94273,             0.60785,            0.039365,            0.010967,                   0,           0.0090694,           0.0090694,           0.0090694
