               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11485,            0.034212,                   0,            0.060848,            0.037037,            0.022908,           0.0080797,            0.065384,            0.028556,                   0,              0.0874,              0.0014,              0.0014
                   1,            0.094623,            0.033389,                   0,           0.0037037,             0.74074,            0.021204,           0.0053447,            0.052159,            0.025804,                   0,            0.073843,           0.0028426,           0.0028426
                   2,            0.081291,            0.035977,                   0,            0.075884,              0.2963,            0.072709,            0.018139,            0.052347,             0.02199,                   0,            0.060226,           0.0042258,           0.0042258
                   3,            0.077229,            0.029407,                   0,             0.13938,            0.074074,             0.12498,            0.030575,            0.060628,            0.016689,                   0,             0.04655,           0.0055495,           0.0055495
                   4,            0.075286,            0.029141,                   0,             0.25975,             0.37037,             0.25685,             0.06033,            0.051913,            0.017113,                   0,            0.032814,           0.0068139,           0.0068139
